,x1,x2,y
0,-200,-190,-1233
1,-200,73,-2548
2,-199,-5,-2147
3,-199,56,-2452
4,-197,-68,-1810
5,-197,72,-2510
6,-196,-29,-1994
7,-195,20,-2228
8,-195,46,-2358
9,-195,52,-2388
10,-194,-151,-1362
11,-194,-123,-1502
12,-194,-32,-1957
13,-194,127,-2752
14,-193,121,-2711
15,-192,84,-2515
16,-191,-193,-1119
17,-191,-22,-1974
18,-191,117,-2669
19,-189,-192,-1102
20,-189,-168,-1222
21,-189,-156,-1282
22,-189,-141,-1357
23,-189,-116,-1482
24,-189,61,-2367
25,-188,-31,-1896
26,-187,-6,-2010
27,-187,30,-2190
28,-185,-153,-1253
29,-184,-72,-1647
30,-183,92,-2456
31,-183,155,-2771
32,-182,22,-2095
33,-182,124,-2605
34,-181,-107,-1439
35,-181,94,-2444
36,-180,-130,-1313
37,-180,-128,-1323
38,-180,-96,-1483
39,-180,23,-2078
40,-180,82,-2373
41,-179,-67,-1617
42,-179,-63,-1637
43,-179,-23,-1837
44,-179,92,-2412
45,-178,-35,-1766
46,-178,47,-2176
47,-178,69,-2286
48,-177,89,-2375
49,-177,98,-2420
50,-177,123,-2545
51,-177,166,-2760
52,-176,-196,-939
53,-174,-122,-1287
54,-174,-18,-1807
55,-173,-100,-1386
56,-173,-8,-1846
57,-173,8,-1926
58,-173,65,-2211
59,-173,81,-2291
60,-173,83,-2301
61,-172,-172,-1015
62,-172,-135,-1200
63,-172,-60,-1575
64,-171,-163,-1049
65,-171,-22,-1754
66,-170,-140,-1153
67,-170,-38,-1663
68,-170,58,-2143
69,-170,194,-2823
70,-169,-122,-1232
71,-168,5,-1856
72,-168,94,-2301
73,-168,172,-2691
74,-167,-166,-990
75,-167,-131,-1165
76,-167,-50,-1570
77,-167,43,-2035
78,-166,-194,-839
79,-166,-160,-1009
80,-165,-197,-813
81,-165,-195,-823
82,-165,-130,-1148
83,-163,35,-1951
84,-163,157,-2561
85,-162,-112,-1205
86,-162,79,-2160
87,-161,-113,-1189
88,-161,-79,-1359
89,-161,-47,-1519
90,-161,-24,-1634
91,-160,-42,-1533
92,-159,-192,-772
93,-159,-13,-1667
94,-159,23,-1847
95,-158,-87,-1286
96,-158,-50,-1471
97,-158,176,-2601
98,-157,-187,-775
99,-157,-118,-1120
100,-157,-104,-1190
101,-157,-27,-1575
102,-157,6,-1740
103,-157,8,-1750
104,-157,118,-2300
105,-156,-200,-699
106,-156,-100,-1199
107,-155,-181,-783
108,-155,-64,-1368
109,-155,55,-1963
110,-155,100,-2188
111,-155,193,-2653
112,-154,10,-1727
113,-153,-15,-1591
114,-152,-182,-745
115,-152,-141,-950
116,-152,-85,-1230
117,-152,158,-2445
118,-151,-176,-764
119,-151,-101,-1139
120,-151,-54,-1374
121,-151,-14,-1574
122,-150,-65,-1308
123,-150,-46,-1403
124,-150,41,-1838
125,-150,110,-2183
126,-149,157,-2407
127,-149,188,-2562
128,-148,-24,-1491
129,-147,95,-2075
130,-147,150,-2350
131,-146,-183,-674
132,-146,-156,-809
133,-146,-76,-1209
134,-145,-180,-678
135,-145,31,-1733
136,-144,-2,-1557
137,-144,71,-1922
138,-143,-16,-1476
139,-143,24,-1676
140,-143,39,-1751
141,-143,164,-2376
142,-142,-125,-920
143,-141,-191,-579
144,-140,-133,-858
145,-140,-55,-1248
146,-140,-21,-1418
147,-140,-4,-1503
148,-139,-154,-742
149,-139,-131,-857
150,-139,52,-1772
151,-139,146,-2242
152,-138,42,-1711
153,-137,-192,-530
154,-137,76,-1870
155,-137,88,-1930
156,-137,128,-2130
157,-137,146,-2220
158,-137,166,-2320
159,-136,154,-2249
160,-134,-4,-1437
161,-134,116,-2037
162,-134,168,-2297
163,-133,15,-1521
164,-133,160,-2246
165,-132,-123,-820
166,-132,141,-2140
167,-131,76,-1804
168,-131,126,-2054
169,-131,158,-2214
170,-130,150,-2163
171,-129,-183,-487
172,-129,-108,-862
173,-128,80,-1791
174,-127,-128,-740
175,-127,-106,-850
176,-127,183,-2295
177,-126,-28,-1229
178,-125,-121,-753
179,-125,-90,-908
180,-125,152,-2118
181,-124,-148,-607
182,-124,-90,-897
183,-124,83,-1762
184,-123,-92,-876
185,-123,72,-1696
186,-123,153,-2101
187,-122,-129,-680
188,-122,-128,-685
189,-122,42,-1535
190,-121,-88,-874
191,-121,-83,-899
192,-121,126,-1944
193,-120,-71,-948
194,-118,-121,-676
195,-118,-51,-1026
196,-118,99,-1776
197,-117,-137,-585
198,-116,-181,-354
199,-115,-187,-313
200,-114,-56,-957
201,-114,-36,-1057
202,-114,-15,-1162
203,-114,-9,-1192
204,-114,65,-1562
205,-114,99,-1732
206,-114,124,-1857
207,-114,198,-2227
208,-113,-180,-326
209,-113,-177,-341
210,-113,-3,-1211
211,-112,-152,-455
212,-112,-136,-535
213,-112,-90,-765
214,-112,-62,-905
215,-112,160,-2015
216,-110,95,-1668
217,-110,125,-1818
218,-110,140,-1893
219,-110,179,-2088
220,-109,-158,-392
221,-109,43,-1397
222,-108,3,-1186
223,-108,9,-1216
224,-107,-125,-535
225,-107,-120,-560
226,-107,-77,-775
227,-106,-188,-209
228,-105,-15,-1063
229,-104,-184,-207
230,-104,-178,-237
231,-104,-158,-337
232,-104,-150,-377
233,-104,-107,-592
234,-104,180,-2027
235,-103,9,-1161
236,-103,58,-1406
237,-103,77,-1501
238,-103,151,-1871
239,-102,-86,-675
240,-100,25,-1208
241,-100,137,-1768
242,-98,-169,-216
243,-98,-165,-236
244,-98,91,-1516
245,-98,144,-1781
246,-97,-103,-535
247,-97,166,-1880
248,-95,-164,-208
249,-95,-74,-658
250,-95,10,-1078
251,-95,99,-1523
252,-95,156,-1808
253,-94,-169,-172
254,-94,194,-1987
255,-93,159,-1801
256,-92,35,-1170
257,-92,76,-1375
258,-90,33,-1138
259,-90,104,-1493
260,-89,-67,-627
261,-89,193,-1927
262,-88,-132,-291
263,-88,-55,-676
264,-88,133,-1616
265,-87,18,-1030
266,-86,-94,-459
267,-85,-193,47
268,-85,-99,-423
269,-85,86,-1348
270,-84,-24,-787
271,-84,-23,-792
272,-84,-16,-827
273,-84,139,-1602
274,-83,-136,-216
275,-83,-12,-836
276,-83,132,-1556
277,-82,-125,-260
278,-82,24,-1005
279,-82,173,-1750
280,-81,128,-1514
281,-81,152,-1634
282,-81,163,-1689
283,-81,186,-1804
284,-80,-137,-178
285,-80,-109,-318
286,-80,161,-1668
287,-78,153,-1606
288,-77,-181,75
289,-77,-52,-570
290,-77,-48,-590
291,-77,19,-925
292,-77,118,-1420
293,-76,-142,-109
294,-76,-120,-219
295,-76,-45,-594
296,-76,-43,-604
297,-76,141,-1524
298,-75,175,-1683
299,-73,-179,109
300,-73,-40,-586
301,-73,3,-801
302,-72,-61,-470
303,-72,120,-1375
304,-71,-181,141
305,-70,-191,202
306,-70,-91,-298
307,-70,-68,-413
308,-70,90,-1203
309,-70,121,-1358
310,-69,-119,-147
311,-68,-142,-21
312,-68,-111,-176
313,-68,69,-1076
314,-67,-79,-325
315,-67,-18,-630
316,-67,8,-760
317,-66,-168,131
318,-66,-80,-309
319,-65,173,-1563
320,-64,-133,-22
321,-64,-75,-312
322,-64,131,-1342
323,-63,-178,214
324,-62,-106,-135
325,-62,-3,-650
326,-62,13,-730
327,-61,-163,161
328,-61,-90,-204
329,-61,121,-1259
330,-61,191,-1609
331,-60,170,-1493
332,-60,180,-1543
333,-59,-198,358
334,-59,-177,253
335,-59,-162,178
336,-59,-106,-102
337,-59,14,-702
338,-59,177,-1517
339,-59,195,-1607
340,-58,-8,-581
341,-58,-4,-601
342,-58,16,-701
343,-58,24,-741
344,-57,-133,55
345,-57,66,-940
346,-57,148,-1350
347,-56,-176,281
348,-56,-70,-249
349,-56,-23,-484
350,-56,71,-954
351,-55,42,-798
352,-55,117,-1173
353,-54,-63,-262
354,-52,-63,-240
355,-52,-59,-260
356,-52,123,-1170
357,-52,184,-1475
358,-51,-176,336
359,-51,52,-804
360,-51,142,-1254
361,-50,-99,-38
362,-50,181,-1438
363,-49,-142,188
364,-48,-25,-386
365,-47,-12,-440
366,-47,2,-510
367,-47,97,-985
368,-46,158,-1279
369,-46,159,-1284
370,-45,-7,-443
371,-45,114,-1048
372,-45,183,-1393
373,-44,-112,93
374,-44,183,-1382
375,-43,-134,214
376,-43,-67,-121
377,-42,-196,535
378,-42,-137,240
379,-42,-107,90
380,-42,29,-590
381,-42,113,-1010
382,-41,-133,231
383,-41,-129,211
384,-41,-88,6
385,-40,169,-1268
386,-39,-144,308
387,-39,42,-622
388,-39,116,-992
389,-38,-189,544
390,-38,-111,154
391,-38,174,-1271
392,-38,190,-1351
393,-37,-171,465
394,-37,-170,460
395,-37,-35,-215
396,-37,-27,-255
397,-36,87,-814
398,-36,112,-939
399,-34,-30,-207
400,-34,21,-462
401,-33,-170,504
402,-32,-72,25
403,-32,-43,-120
404,-32,18,-425
405,-31,-133,341
406,-30,-25,-188
407,-29,-7,-267
408,-29,28,-442
409,-29,92,-762
410,-29,114,-872
411,-28,-61,14
412,-28,168,-1131
413,-27,-111,275
414,-27,150,-1030
415,-27,187,-1215
416,-26,171,-1124
417,-25,-165,567
418,-25,-57,27
419,-24,69,-592
420,-23,-160,564
421,-23,-99,259
422,-23,56,-516
423,-21,-196,766
424,-20,-110,347
425,-20,65,-528
426,-20,172,-1063
427,-19,-124,428
428,-19,-110,358
429,-19,-61,113
430,-19,36,-372
431,-18,-62,129
432,-18,-48,59
433,-17,-12,-110
434,-17,20,-270
435,-15,-133,517
436,-15,-112,412
437,-15,-92,312
438,-15,-49,97
439,-15,7,-183
440,-15,66,-478
441,-14,-136,543
442,-14,68,-477
443,-14,146,-867
444,-12,-34,55
445,-12,-6,-85
446,-12,190,-1065
447,-10,-196,887
448,-10,-185,832
449,-10,-105,432
450,-10,-102,417
451,-10,-54,177
452,-10,46,-323
453,-9,-165,743
454,-9,-111,473
455,-9,191,-1037
456,-8,-18,19
457,-7,85,-485
458,-6,-65,276
459,-6,-44,171
460,-6,145,-774
461,-5,-190,912
462,-5,-87,397
463,-5,106,-568
464,-5,163,-853
465,-3,-123,599
466,-3,157,-801
467,-1,-148,746
468,-1,-129,651
469,-1,71,-349
470,-1,138,-684
471,0,-70,367
472,0,-22,127
473,0,-4,37
474,0,90,-433
475,0,173,-848
476,1,-93,493
477,1,199,-967
478,2,-181,944
479,3,-25,175
480,3,-24,170
481,3,9,5
482,3,110,-500
483,4,108,-479
484,4,191,-894
485,5,-125,697
486,5,7,37
487,5,199,-923
488,6,-89,528
489,6,37,-102
490,6,150,-667
491,7,19,-1
492,8,-66,435
493,8,57,-180
494,8,187,-830
495,9,-171,971
496,9,-149,861
497,9,-109,661
498,9,-34,286
499,9,31,-39
500,10,90,-323
501,11,-23,253
502,11,116,-442
503,12,-136,829
504,12,49,-96
505,12,52,-111
506,13,-199,1155
507,13,-187,1095
508,13,-165,985
509,13,-122,770
510,13,-18,250
511,13,119,-435
512,14,-128,811
513,14,28,31
514,15,-72,542
515,15,104,-338
516,16,-180,1093
517,16,138,-497
518,17,-28,344
519,17,92,-256
520,17,186,-726
521,18,-192,1175
522,18,-30,365
523,18,-7,250
524,19,-160,1026
525,20,-179,1132
526,20,-148,977
527,20,-133,902
528,20,-98,727
529,20,1,232
530,20,120,-363
531,22,141,-446
532,23,-151,1025
533,23,-109,815
534,23,99,-225
535,23,175,-605
536,24,-198,1271
537,24,-118,871
538,24,-82,691
539,25,-140,992
540,25,60,-8
541,26,-14,373
542,26,188,-637
543,27,-154,1084
544,27,-116,894
545,28,-42,535
546,29,-40,536
547,29,113,-229
548,30,-29,492
549,31,58,68
550,32,-8,409
551,32,119,-226
552,32,178,-521
553,33,4,360
554,33,97,-105
555,34,-170,1241
556,34,27,256
557,34,166,-439
558,35,-131,1057
559,35,153,-363
560,36,-51,668
561,36,81,8
562,36,186,-517
563,37,-158,1214
564,37,-135,1099
565,37,-23,539
566,37,44,204
567,38,-178,1325
568,38,-58,725
569,38,198,-555
570,39,-59,741
571,40,50,207
572,40,90,7
573,40,125,-168
574,40,127,-178
575,40,163,-358
576,41,54,198
577,43,-175,1365
578,43,-88,930
579,43,-24,610
580,43,113,-75
581,44,-188,1441
582,44,70,151
583,44,106,-29
584,45,-191,1467
585,45,-28,652
586,45,122,-98
587,46,-73,888
588,47,145,-191
589,48,-169,1390
590,48,-138,1235
591,48,-99,1040
592,49,-56,836
593,49,37,371
594,50,82,157
595,50,165,-258
596,51,-175,1453
597,51,-76,958
598,51,-31,733
599,51,12,518
600,51,83,163
601,52,104,69
602,52,150,-161
603,53,-147,1335
604,53,-114,1170
605,53,-101,1105
606,53,133,-65
607,54,-122,1221
608,54,-113,1176
609,54,-112,1171
610,54,-63,926
611,54,69,266
612,54,169,-234
613,55,-78,1012
614,55,-77,1007
615,55,37,437
616,55,113,57
617,57,-200,1644
618,57,-162,1454
619,57,-73,1009
620,58,122,45
621,59,9,621
622,59,141,-39
623,60,-186,1607
624,60,-11,732
625,60,115,102
626,61,-72,1048
627,61,4,668
628,61,176,-192
629,62,-146,1429
630,62,-115,1274
631,62,16,619
632,62,158,-91
633,62,161,-106
634,63,-59,1005
635,63,97,225
636,63,138,20
637,63,188,-230
638,64,-73,1086
639,64,-68,1061
640,64,23,606
641,64,35,546
642,65,-194,1702
643,66,-168,1583
644,66,-10,793
645,66,28,603
646,66,47,508
647,66,159,-52
648,66,187,-192
649,67,100,254
650,68,56,485
651,68,76,385
652,68,95,290
653,69,-133,1441
654,69,-102,1286
655,69,-10,826
656,71,-172,1658
657,71,56,518
658,72,-8,849
659,72,100,309
660,73,-169,1665
661,73,-115,1395
662,73,40,620
663,73,75,445
664,73,156,40
665,74,-200,1831
666,74,-144,1551
667,74,-85,1256
668,74,-68,1171
669,75,2,832
670,75,33,677
671,75,101,337
672,75,115,267
673,75,187,-93
674,76,-25,978
675,76,-1,858
676,77,-195,1839
677,77,3,849
678,77,139,169
679,78,-26,1005
680,79,-168,1726
681,79,56,606
682,80,-198,1887
683,80,107,362
684,81,-112,1468
685,82,117,334
686,83,-127,1565
687,83,26,800
688,83,31,775
689,83,39,735
690,83,63,615
